load,metric,A_mean,A_ci95,A_p95,A_n,B_mean,B_ci95,B_p95,B_n,RO_percent
basic,api_cpu_cores,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,api_error_rate,0.0857624010602586,0.013124719989886168,0.11077844311377244,12,0.03907803754595656,0.010698925238144029,0.048596112311015106,12,54.43453417483094
basic,api_latency_p50_s,0.062491602725226116,0.015902568970118727,0.09042968750000001,12,0.038899175327781456,0.0020942651527518443,0.044409448818897634,12,37.75295618705752
basic,api_latency_p95_s,1.7345580395549014,0.05056536569296005,1.8118749999999995,12,0.7326558989147703,0.14550357089330623,0.9545454545454448,12,57.761234723354974
basic,api_latency_p99_s,4.158230472597489,0.0255615629678496,4.200609756097558,12,3.4006330031333367,0.5997977465648007,3.830000000000009,12,18.219227492479746
basic,api_mem_mb,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,api_throughput_rps,22.938194639912723,3.222513149187649,29.495199301716614,12,18.807148420430774,2.2311904950678154,22.948792551643876,12,18.00946536696432
basic,collector_cpu_cores,0.003803557927238925,0.00014185362532462772,0.004000654652579515,12,0.005046151889876703,0.00017063137075978558,0.005455041367397038,12,-32.669253010162535
basic,collector_mem_mb,173.517578125,1.401507784313487,176.19921875,12,174.66471354166666,0.454525416379115,175.1328125,12,-0.6611061709495937
basic,collector_net_rx_bps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,collector_net_tx_bps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,jaeger_spans_received,3475.5498686427786,105.35927592098336,3717.93086021362,12,644.2537950511755,48.60545785758386,726.7999759971196,12,81.46325561708139
basic,jaeger_spans_saved,3475.5809914580277,105.36064388763441,3717.9713573266836,12,644.2598578689673,48.60527278239105,726.807576909229,12,81.46324716781535
basic,logs_exported_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,logs_received_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,metrics_exported_rps,5.640191411336297,0.4224882955716936,6.182829917622884,12,6.8661019259666,0.28716042763346944,7.564736688972942,12,-21.735264377133166
basic,metrics_received_rps,5.66745355713186,0.43058321826686585,6.182829917622884,12,6.866102697526873,0.242944045426053,7.31015420424789,12,-21.14969497873779
basic,spans_dropped_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,spans_exported_rps,32.47831921966733,9.110509251437536,49.82067729482127,12,7.580500510929018,1.3063815663294882,10.201298347062353,12,76.65981278261891
basic,spans_received_rps,28.399276424752937,9.874660241230162,49.515392868183234,12,34.201753963298536,10.263028719005382,56.44457375618272,12,-20.431779499452787
basic,spans_refused_rps,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,worker_cpu_cores,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,worker_injected_error,158.63082825123976,27.652847283171127,214.93615725208883,12,172.7701539710752,26.984609665030035,240.80740839516523,12,-8.9133530195288
basic,worker_injected_slow,91.98937296561144,15.994039548768555,124.65446453574428,12,78.17055220958248,11.990465216933023,105.67491832477688,12,15.02219257565205
basic,worker_injected_total,250.61682119976334,43.645418630176046,339.5875505480155,12,250.93717213451805,38.93044237740803,346.4813551895913,12,-0.1278249932391276
basic,worker_mem_mb,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
basic,worker_tasks_err,2.2103541635908024,0.2831890650468149,2.764038405586267,12,2.323521586281385,0.1524299705710292,2.709485016002328,12,-5.11987737325941
basic,worker_tasks_ok,38.58821546743492,4.750372672924456,47.297788769275535,12,41.612078126018524,2.4661085798266695,47.34889810168012,12,-7.836233476864145
medium,api_cpu_cores,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,api_error_rate,0.0713479070824206,0.002198882168952224,0.08171091445427728,72,0.06805341313096713,0.0016489814058615352,0.07393337229690239,72,4.617506085564207
medium,api_latency_p50_s,0.1161707141585244,0.0030302270521920653,0.13195357436318816,72,0.11328965362117684,0.0035167513264450848,0.13218001261034049,72,2.4800230920644237
medium,api_latency_p95_s,2.0470014850627454,0.04991150203688506,2.3463709677419335,72,1.7946063841348443,0.13274273874235926,2.7445121951219456,72,12.329991100136626
medium,api_latency_p99_s,4.347771402370201,0.015042317036724493,4.454642857142855,72,3.9759690056222485,0.2622951421218138,4.568414634146339,72,8.55156268209647
medium,api_mem_mb,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,api_throughput_rps,141.28756427002241,10.611813889869673,220.71498708950068,72,157.50698276467668,9.3444933277677,213.36873113430556,72,-11.479721218533037
medium,collector_cpu_cores,0.001762856828405626,0.0005928749800490627,0.006364562118126275,72,0.0020331045411120024,0.000683002629832358,0.0070920696113909495,72,-15.330099889665776
medium,collector_mem_mb,60.857747395833336,20.021124189542515,184.203125,72,68.14990234375,22.423063781298715,207.84765625,72,-11.982295204728405
medium,collector_net_rx_bps,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,collector_net_tx_bps,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,jaeger_spans_received,17972.10539143826,147.91860484570662,18780.55949761546,72,4047.6521008119034,43.125093492658046,4313.410145364956,72,77.47814174993562
medium,jaeger_spans_saved,17972.150127272867,147.92197326472493,18780.622232516027,72,4047.66523399807,43.12550664838444,4313.424727484576,72,77.47812473558348
medium,logs_exported_rps,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,logs_received_rps,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,metrics_exported_rps,5.667405552055783,0.13558598327232185,6.182942353155119,72,6.934149740364697,0.15341139241996096,7.56501182033097,72,-22.351394772682507
medium,metrics_received_rps,5.6674036002260575,0.13558191244168397,6.18294235315512,72,6.934157859747294,0.15343131728017476,7.565149393515066,72,-22.351580174574277
medium,spans_dropped_rps,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,spans_exported_rps,34.115566180147965,4.8807023262029015,64.67978324908172,72,9.880395467410368,1.0700102914143246,16.85546484353692,72,71.03845378019895
medium,spans_received_rps,32.39459676621585,4.912082930005014,63.3183008437591,72,31.261928253277826,5.079434371962783,66.6108999654489,72,3.496473566601933
medium,spans_refused_rps,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,worker_cpu_cores,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,worker_injected_error,1758.0629959104294,106.80200486848979,2399.94088770155,72,1701.7544646146878,55.93903712273196,2031.3915373871064,72,3.2028733570256254
medium,worker_injected_slow,979.3659968953029,38.57839633909799,1225.5424724037862,72,1080.2900464184481,47.68774336149742,1557.2759273008348,72,-10.3050391623852
medium,worker_injected_total,2737.4181598032433,143.4401512216147,3606.1817645543188,72,2782.0306259077565,94.31627392141914,3528.1389366340186,72,-1.6297278493878284
medium,worker_mem_mb,0.0,0.0,0.0,72,0.0,0.0,0.0,72,
medium,worker_tasks_err,8.744460781140056,0.889073520370824,14.3654646955067,72,9.271721366814994,0.5688546103641937,12.692986125002273,72,-6.029652357891833
medium,worker_tasks_ok,160.30628960642247,15.54649269082532,253.24580863366916,72,182.7433001854487,10.341388140401975,248.77250409165302,72,-13.996338280994888
stress,api_cpu_cores,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
stress,api_error_rate,0.07202186574331206,0.0005821056102386048,0.0730068275899145,12,0.044862662239109945,0.04021400037218698,0.028940662540953774,12,37.70966389707019
stress,api_latency_p50_s,0.15853075255169094,0.00023525462169796943,0.15919837255333186,12,0.1643779498706564,0.011188978720611295,0.17112658227848102,12,-3.6883678559835964
stress,api_latency_p95_s,1.945752684494537,0.012275266365627643,1.966216216216212,12,2.075320204792028,0.02996292219976941,2.1214673913043454,12,-6.658992241408604
stress,api_latency_p99_s,4.284038601455442,0.009451552642668328,4.303867623604463,12,4.174392217559542,0.2996562943095726,4.362388392857141,12,2.5594163380938917
stress,api_mem_mb,0.0,0.0,0.0,12,0.0,0.0,0.0,12,
